TP1: Wiretapping
sniff timeout = 1800 segs

----------Paquetes ARP capturados----------
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.225, at mac 64:6c:b2:a6:4a:42
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.12, at mac 34:bb:26:e6:b0:2b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.12, at mac 34:bb:26:e6:b0:2b
Who has? ip 10.2.203.254, tell ip 10.2.200.124, at mac 98:0c:82:d2:aa:f7
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.12, at mac 34:bb:26:e6:b0:2b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.12, at mac 34:bb:26:e6:b0:2b
Who has? ip 10.2.203.254, tell ip 10.2.203.9, at mac e4:12:1d:74:76:bb
Who has? ip 10.2.203.254, tell ip 10.2.200.124, at mac 98:0c:82:d2:aa:f7
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.12, at mac 34:bb:26:e6:b0:2b
Packet has no attribute type
Who has? ip 10.2.203.254, tell ip 10.2.203.9, at mac e4:12:1d:74:76:bb
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.203.254, tell ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.203.254, tell ip 10.2.203.9, at mac e4:12:1d:74:76:bb
Packet has no attribute type
Who has? ip 10.2.203.254, tell ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.203.254, tell ip 10.2.203.9, at mac e4:12:1d:74:76:bb
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.124, at mac 98:0c:82:d2:aa:f7
Who has? ip 10.2.203.254, tell ip 10.2.203.9, at mac e4:12:1d:74:76:bb
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.124, at mac 98:0c:82:d2:aa:f7
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.124, at mac 98:0c:82:d2:aa:f7
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.9, at mac e4:12:1d:74:76:bb
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.9, at mac e4:12:1d:74:76:bb
Packet has no attribute type
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.124, at mac 98:0c:82:d2:aa:f7
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.124, at mac 98:0c:82:d2:aa:f7
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.9, at mac e4:12:1d:74:76:bb
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.9, at mac e4:12:1d:74:76:bb
Who has? ip 10.2.203.254, tell ip 10.2.202.194, at mac 98:f1:70:57:7b:c0
Who has? ip 10.2.203.254, tell ip 10.2.202.194, at mac 98:f1:70:57:7b:c0
Who has? ip 10.2.203.254, tell ip 10.2.202.194, at mac 98:f1:70:57:7b:c0
Packet has no attribute type
Packet has no attribute type
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.194, at mac 98:f1:70:57:7b:c0
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.194, at mac 98:f1:70:57:7b:c0
Who has? ip 10.2.203.254, tell ip 10.2.202.194, at mac 98:f1:70:57:7b:c0
Who has? ip 10.2.203.254, tell ip 10.2.200.171, at mac cc:c3:ea:d8:29:95
Who has? ip 10.2.203.254, tell ip 10.2.202.194, at mac 98:f1:70:57:7b:c0
Packet has no attribute type
Who has? ip 10.2.203.254, tell ip 10.2.200.171, at mac cc:c3:ea:d8:29:95
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Who has? ip 10.2.203.254, tell ip 10.2.200.171, at mac cc:c3:ea:d8:29:95
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.194, at mac 98:f1:70:57:7b:c0
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.194, at mac 98:f1:70:57:7b:c0
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.171, at mac cc:c3:ea:d8:29:95
Who has? ip 10.2.203.254, tell ip 10.2.200.171, at mac cc:c3:ea:d8:29:95
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.171, at mac cc:c3:ea:d8:29:95
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.43, at mac e8:91:20:0e:ce:29
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.43, at mac e8:91:20:0e:ce:29
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.43, at mac e8:91:20:0e:ce:29
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.171, at mac cc:c3:ea:d8:29:95
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.43, at mac e8:91:20:0e:ce:29
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Who has? ip 10.2.203.254, tell ip 10.2.202.124, at mac a4:70:d6:02:85:61
Who has? ip 10.2.203.254, tell ip 10.2.202.124, at mac a4:70:d6:02:85:61
Who has? ip 10.2.203.254, tell ip 10.2.202.124, at mac a4:70:d6:02:85:61
Who has? ip 10.2.203.254, tell ip 10.2.202.124, at mac a4:70:d6:02:85:61
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.124, at mac a4:70:d6:02:85:61
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.124, at mac a4:70:d6:02:85:61
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.124, at mac a4:70:d6:02:85:61
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.207, at mac e4:40:e2:6d:74:5a
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.156, at mac cc:c3:ea:da:ef:e3
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.207, at mac e4:40:e2:6d:74:5a
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.156, at mac cc:c3:ea:da:ef:e3
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.124, at mac a4:70:d6:02:85:61
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.124, at mac a4:70:d6:02:85:61
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.207, at mac e4:40:e2:6d:74:5a
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.156, at mac cc:c3:ea:da:ef:e3
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.156, at mac cc:c3:ea:da:ef:e3
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.156, at mac cc:c3:ea:da:ef:e3
Who has? ip 10.2.203.254, tell ip 10.2.203.9, at mac e4:12:1d:74:76:bb
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Who has? ip 10.2.203.254, tell ip 10.2.203.9, at mac e4:12:1d:74:76:bb
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Who has? ip 10.2.203.254, tell ip 10.2.203.9, at mac e4:12:1d:74:76:bb
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.156, at mac cc:c3:ea:da:ef:e3
Packet has no attribute type
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.156, at mac cc:c3:ea:da:ef:e3
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Packet has no attribute type
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.9, at mac e4:12:1d:74:76:bb
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.9, at mac e4:12:1d:74:76:bb
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.9, at mac e4:12:1d:74:76:bb
Who has? ip 169.254.165.116, tell ip 0.0.0.0, at mac 74:e2:8c:02:2a:78
Who has? ip 169.254.165.116, tell ip 0.0.0.0, at mac 74:e2:8c:02:2a:78
Who has? ip 169.254.165.116, tell ip 0.0.0.0, at mac 74:e2:8c:02:2a:78
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Packet has no attribute type
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Who has? ip 10.2.201.224, tell ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Who has? ip 10.2.203.254, tell ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
Who has? ip 10.2.203.254, tell ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Who has? ip 10.2.203.254, tell ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Packet has no attribute type
Who has? ip 10.2.203.254, tell ip 10.2.202.124, at mac a4:70:d6:02:85:61
Who has? ip 10.2.203.254, tell ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
Who has? ip 10.2.201.224, tell ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Who has? ip 10.2.203.254, tell ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
Who has? ip 10.2.203.254, tell ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
Who has? ip 10.2.201.224, tell ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Who has? ip 10.2.203.254, tell ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
Who has? ip 10.2.203.254, tell ip 10.2.202.53, at mac 78:3a:84:0b:18:f7
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
Who has? ip 10.2.203.254, tell ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.124, at mac a4:70:d6:02:85:61
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.207, at mac e4:40:e2:6d:74:5a
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.124, at mac a4:70:d6:02:85:61
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.207, at mac e4:40:e2:6d:74:5a
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.207, at mac e4:40:e2:6d:74:5a
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.200.101, at mac 80:6c:1b:9b:5a:ca
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.53, at mac 78:3a:84:0b:18:f7
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.207, at mac e4:40:e2:6d:74:5a
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.207, at mac e4:40:e2:6d:74:5a
Packet has no attribute type
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.207, at mac e4:40:e2:6d:74:5a
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.156, at mac cc:c3:ea:da:ef:e3
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.207, at mac e4:40:e2:6d:74:5a
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.156, at mac cc:c3:ea:da:ef:e3
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.156, at mac cc:c3:ea:da:ef:e3
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.156, at mac cc:c3:ea:da:ef:e3
Who has? ip 10.2.203.254, tell ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
Who has? ip 10.2.203.254, tell ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
Who has? ip 10.2.203.254, tell ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.203.254, tell ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.203.254, tell ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.237, at mac 88:9b:39:26:4f:ed
Who has? ip 10.2.201.224, tell ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.237, at mac 88:9b:39:26:4f:ed
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.237, at mac 88:9b:39:26:4f:ed
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.203.254, tell ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.237, at mac 88:9b:39:26:4f:ed
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.237, at mac 88:9b:39:26:4f:ed
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.237, at mac 88:9b:39:26:4f:ed
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.237, at mac 88:9b:39:26:4f:ed
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
Who has? ip 10.2.7.254, tell ip 10.2.7.55, at mac cc:c3:ea:18:0e:64
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.203.104, at mac ac:f7:f3:5c:64:b9
Who has? ip 10.2.7.254, tell ip 10.2.7.55, at mac cc:c3:ea:18:0e:64
Who has? ip 10.2.7.254, tell ip 10.2.7.55, at mac cc:c3:ea:18:0e:64
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
Who has? ip 10.2.7.254, tell ip 10.2.7.55, at mac cc:c3:ea:18:0e:64
Who has? ip 10.2.7.254, tell ip 10.2.7.55, at mac cc:c3:ea:18:0e:64
The ip 10.2.7.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.7.55, at mac cc:c3:ea:18:0e:64
The ip 10.2.7.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.7.55, at mac cc:c3:ea:18:0e:64
The ip 10.2.7.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.7.55, at mac cc:c3:ea:18:0e:64
The ip 10.2.7.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.7.55, at mac cc:c3:ea:18:0e:64
The ip 10.2.7.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.7.55, at mac cc:c3:ea:18:0e:64
Who has? ip 10.2.203.254, tell ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
Who has? ip 10.2.203.254, tell ip 10.2.202.192, at mac 34:4d:f7:15:46:d3
Who has? ip 10.2.203.254, tell ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
Who has? ip 10.2.203.254, tell ip 10.2.202.192, at mac 34:4d:f7:15:46:d3
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
Who has? ip 10.2.203.254, tell ip 10.2.202.192, at mac 34:4d:f7:15:46:d3
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
Who has? ip 10.2.203.254, tell ip 10.2.202.192, at mac 34:4d:f7:15:46:d3
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
Who has? ip 10.2.203.254, tell ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
Who has? ip 10.2.203.254, tell ip 10.2.202.192, at mac 34:4d:f7:15:46:d3
Who has? ip 10.2.203.254, tell ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
Packet has no attribute type
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Who has? ip 10.2.203.254, tell ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
The ip 10.2.201.224 is at mac 3c:15:c2:bf:05:80, telling ip 10.2.202.206, at mac 80:9b:20:0a:3e:1c
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.192, at mac 34:4d:f7:15:46:d3
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.192, at mac 34:4d:f7:15:46:d3
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
Who has? ip 10.2.203.254, tell ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.192, at mac 34:4d:f7:15:46:d3
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.221, at mac 9c:d9:17:db:0d:a5
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.192, at mac 34:4d:f7:15:46:d3
Who has? ip 10.2.203.254, tell ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.221, at mac 9c:d9:17:db:0d:a5
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.192, at mac 34:4d:f7:15:46:d3
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.201.221, at mac 9c:d9:17:db:0d:a5
Who has? ip 10.2.203.254, tell ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
Who has? ip 10.2.203.254, tell ip 10.2.202.228, at mac 60:be:b5:42:a3:0b
The ip 10.2.203.254 is at mac 00:1b:21:7f:6c:fd, telling ip 10.2.202.204, at mac e4:90:7e:bd:ae:29
